feature,importance,group,model
rolling_mean_14,0.17181614,bottom,XGBoost
rolling_mean_28,0.10935659,bottom,XGBoost
dow_ratio_x_rolling_mean_7,0.08632829,bottom,XGBoost
rolling_mean_7,0.033551313,bottom,XGBoost
weekend_x_rolling_mean_7,0.01973268,bottom,XGBoost
zero_rate_28,0.01346494,bottom,XGBoost
event_type_1_Sporting,0.013056725,bottom,XGBoost
month,0.012748004,bottom,XGBoost
zero_rate_7,0.012381564,bottom,XGBoost
store_TX_2,0.012331091,bottom,XGBoost
rolling_mean_7_div_28,0.012009304,bottom,XGBoost
store_CA_3,0.011984215,bottom,XGBoost
store_WI_2,0.010912508,bottom,XGBoost
zero_rate_14,0.010833145,bottom,XGBoost
rolling_mean_7_minus_28,0.010819395,bottom,XGBoost
snap_x_rolling_mean_7,0.010781179,bottom,XGBoost
lag_28,0.010733347,bottom,XGBoost
store_TX_3,0.01016106,bottom,XGBoost
year,0.010103415,bottom,XGBoost
store_WI_3,0.010080106,bottom,XGBoost
price_lag_1,0.0100070825,bottom,XGBoost
sell_price,0.009763587,bottom,XGBoost
event_type_1_National,0.009700106,bottom,XGBoost
rolling_std_7,0.009548159,bottom,XGBoost
state_WI,0.009499264,bottom,XGBoost
group_dow_sales_mean,0.009276808,bottom,XGBoost
snap,0.009262125,bottom,XGBoost
dow_1,0.008962651,bottom,XGBoost
dept_FOODS_1,0.008932185,bottom,XGBoost
state_TX,0.008748289,bottom,XGBoost
rolling_std_28,0.0087419795,bottom,XGBoost
rolling_std_14,0.008739434,bottom,XGBoost
weekofyear,0.008661704,bottom,XGBoost
store_WI_1,0.008608019,bottom,XGBoost
price_x_rolling_mean_7,0.008590266,bottom,XGBoost
store_CA_4,0.0083277775,bottom,XGBoost
week_of_month_x_rolling_mean_7,0.008122282,bottom,XGBoost
event_type_1_Cultural,0.008027527,bottom,XGBoost
is_month_end,0.007941509,bottom,XGBoost
store_TX_1,0.007744439,bottom,XGBoost
is_week_4,0.007656534,bottom,XGBoost
has_event,0.007621957,bottom,XGBoost
is_week_2,0.007554266,bottom,XGBoost
dept_FOODS_2,0.0073841745,bottom,XGBoost
dayofweek,0.0072927927,bottom,XGBoost
dow_0,0.0072267833,bottom,XGBoost
dow_4,0.007129611,bottom,XGBoost
store_CA_2,0.0071030995,bottom,XGBoost
wday,0.0070767505,bottom,XGBoost
store_CA_1,0.007051853,bottom,XGBoost
has_event_2,0.0069693234,bottom,XGBoost
price_diff_1,0.006961849,bottom,XGBoost
event_type_2_NoEvent,0.006898126,bottom,XGBoost
state_CA,0.006862764,bottom,XGBoost
day,0.006804367,bottom,XGBoost
lag_7,0.006739607,bottom,XGBoost
lag_7_minus_14,0.006722357,bottom,XGBoost
event_type_2_Religious,0.006688302,bottom,XGBoost
dow_2,0.006647786,bottom,XGBoost
event_x_rolling_mean_7,0.0065990626,bottom,XGBoost
lag_21,0.0063974424,bottom,XGBoost
price_pct_change_1,0.006386674,bottom,XGBoost
lag_14,0.006348348,bottom,XGBoost
lag_7_minus_28,0.0062931743,bottom,XGBoost
lag_7_minus_21,0.006187355,bottom,XGBoost
is_weekend,0.0061528613,bottom,XGBoost
quarter,0.0060993503,bottom,XGBoost
dept_FOODS_3,0.0057276585,bottom,XGBoost
event_type_1_Religious,0.0055097817,bottom,XGBoost
has_event_1,0.005249152,bottom,XGBoost
is_week_3,0.005221413,bottom,XGBoost
week_of_month,0.0048625926,bottom,XGBoost
dow_5,0.004599054,bottom,XGBoost
event_type_2_Cultural,0.004458757,bottom,XGBoost
group_dow_sales_ratio,0.0036156827,bottom,XGBoost
price_down_x_rolling_mean_7,0.0030831175,bottom,XGBoost
is_price_up,0.0016642191,bottom,XGBoost
is_month_start,0.0007618597,bottom,XGBoost
is_week_5,0.0,bottom,XGBoost
is_week_1,0.0,bottom,XGBoost
is_price_down,0.0,bottom,XGBoost
event_type_1_NoEvent,0.0,bottom,XGBoost
dow_3,0.0,bottom,XGBoost
dow_6,0.0,bottom,XGBoost
dow_ratio_x_rolling_mean_7,0.38147908,middle,XGBoost
zero_rate_7,0.1578793,middle,XGBoost
rolling_mean_14,0.118423924,middle,XGBoost
rolling_mean_28,0.040599268,middle,XGBoost
snap,0.016928498,middle,XGBoost
quarter,0.013199905,middle,XGBoost
weekend_x_rolling_mean_7,0.010876488,middle,XGBoost
zero_rate_14,0.010177119,middle,XGBoost
store_WI_2,0.009148053,middle,XGBoost
rolling_mean_7_div_28,0.00905093,middle,XGBoost
rolling_mean_7,0.008925452,middle,XGBoost
snap_x_rolling_mean_7,0.008887406,middle,XGBoost
lag_28,0.007218796,middle,XGBoost
dept_FOODS_2,0.0062015112,middle,XGBoost
dow_5,0.00616371,middle,XGBoost
group_dow_sales_mean,0.006122008,middle,XGBoost
state_WI,0.005671985,middle,XGBoost
lag_21,0.0055117197,middle,XGBoost
event_type_1_National,0.0054734354,middle,XGBoost
state_CA,0.005426083,middle,XGBoost
zero_rate_28,0.005353944,middle,XGBoost
dept_FOODS_1,0.005177123,middle,XGBoost
dept_FOODS_3,0.0050027296,middle,XGBoost
rolling_std_28,0.0044242325,middle,XGBoost
rolling_mean_7_minus_28,0.0043974803,middle,XGBoost
store_WI_1,0.004280225,middle,XGBoost
group_dow_sales_ratio,0.004264764,middle,XGBoost
rolling_std_7,0.0042578774,middle,XGBoost
dow_2,0.0041406504,middle,XGBoost
day,0.0041251895,middle,XGBoost
state_TX,0.0040276917,middle,XGBoost
sell_price,0.003978288,middle,XGBoost
price_lag_1,0.003929789,middle,XGBoost
store_WI_3,0.003899842,middle,XGBoost
dayofweek,0.0037550146,middle,XGBoost
lag_14,0.0037062615,middle,XGBoost
store_CA_1,0.003690997,middle,XGBoost
event_type_1_Religious,0.0035537179,middle,XGBoost
weekofyear,0.0035237323,middle,XGBoost
week_of_month_x_rolling_mean_7,0.0035064868,middle,XGBoost
week_of_month,0.0034284082,middle,XGBoost
price_x_rolling_mean_7,0.003410523,middle,XGBoost
has_event_2,0.0033538132,middle,XGBoost
store_CA_3,0.0032898516,middle,XGBoost
year,0.0032375455,middle,XGBoost
dow_0,0.0032226678,middle,XGBoost
event_type_1_Sporting,0.003182303,middle,XGBoost
store_CA_4,0.003156877,middle,XGBoost
rolling_std_14,0.0030862985,middle,XGBoost
lag_7_minus_21,0.003049073,middle,XGBoost
is_month_start,0.0030188744,middle,XGBoost
event_type_1_Cultural,0.0030167187,middle,XGBoost
is_price_up,0.0029814485,middle,XGBoost
wday,0.0028064772,middle,XGBoost
lag_7,0.0026328387,middle,XGBoost
lag_7_minus_28,0.0025975916,middle,XGBoost
event_x_rolling_mean_7,0.0025677567,middle,XGBoost
dow_4,0.002512345,middle,XGBoost
lag_7_minus_14,0.0024383992,middle,XGBoost
is_month_end,0.0021643413,middle,XGBoost
month,0.0021530308,middle,XGBoost
is_week_4,0.002145807,middle,XGBoost
price_down_x_rolling_mean_7,0.002071969,middle,XGBoost
price_diff_1,0.0019763296,middle,XGBoost
store_CA_2,0.00196011,middle,XGBoost
dow_1,0.0019053277,middle,XGBoost
is_week_2,0.0018860134,middle,XGBoost
has_event_1,0.0017901361,middle,XGBoost
store_TX_3,0.0016955564,middle,XGBoost
store_TX_1,0.0016380625,middle,XGBoost
event_type_2_Religious,0.0015804569,middle,XGBoost
store_TX_2,0.0013555222,middle,XGBoost
is_week_3,0.0013414987,middle,XGBoost
has_event,0.00073715736,middle,XGBoost
event_type_2_Cultural,0.00024818315,middle,XGBoost
is_weekend,0.0,middle,XGBoost
is_week_5,0.0,middle,XGBoost
is_week_1,0.0,middle,XGBoost
price_pct_change_1,0.0,middle,XGBoost
is_price_down,0.0,middle,XGBoost
event_type_1_NoEvent,0.0,middle,XGBoost
event_type_2_NoEvent,0.0,middle,XGBoost
dow_3,0.0,middle,XGBoost
dow_6,0.0,middle,XGBoost
dow_ratio_x_rolling_mean_7,0.57272166,top,XGBoost
rolling_mean_7,0.12430175,top,XGBoost
price_x_rolling_mean_7,0.01911601,top,XGBoost
lag_21,0.015481189,top,XGBoost
weekend_x_rolling_mean_7,0.011919694,top,XGBoost
rolling_mean_28,0.011315551,top,XGBoost
lag_14,0.009541898,top,XGBoost
lag_28,0.009389489,top,XGBoost
sell_price,0.0093410425,top,XGBoost
has_event,0.008715796,top,XGBoost
zero_rate_14,0.008383868,top,XGBoost
is_month_end,0.008171493,top,XGBoost
zero_rate_7,0.007683657,top,XGBoost
event_type_1_National,0.006201069,top,XGBoost
week_of_month,0.0055731004,top,XGBoost
group_dow_sales_mean,0.0053330753,top,XGBoost
weekofyear,0.00524005,top,XGBoost
dow_6,0.0050356705,top,XGBoost
lag_7,0.0049262014,top,XGBoost
state_CA,0.0046654595,top,XGBoost
zero_rate_28,0.004578337,top,XGBoost
is_week_2,0.0045359074,top,XGBoost
day,0.004511183,top,XGBoost
snap,0.0044936333,top,XGBoost
rolling_mean_7_minus_28,0.0044038384,top,XGBoost
snap_x_rolling_mean_7,0.004218641,top,XGBoost
rolling_std_28,0.004208522,top,XGBoost
month,0.004175504,top,XGBoost
price_lag_1,0.0041040797,top,XGBoost
rolling_mean_7_div_28,0.004076337,top,XGBoost
rolling_std_7,0.0040482082,top,XGBoost
store_CA_3,0.003984013,top,XGBoost
store_WI_2,0.0038489392,top,XGBoost
week_of_month_x_rolling_mean_7,0.003703639,top,XGBoost
group_dow_sales_ratio,0.003693354,top,XGBoost
rolling_std_14,0.003691689,top,XGBoost
price_diff_1,0.0036036766,top,XGBoost
lag_7_minus_14,0.003594382,top,XGBoost
dow_4,0.0034573313,top,XGBoost
is_week_3,0.0034224035,top,XGBoost
lag_7_minus_21,0.0034179168,top,XGBoost
dept_FOODS_2,0.003399492,top,XGBoost
quarter,0.0033579457,top,XGBoost
rolling_mean_14,0.0033199433,top,XGBoost
wday,0.0033159368,top,XGBoost
store_CA_1,0.002800501,top,XGBoost
dayofweek,0.0027547071,top,XGBoost
is_price_up,0.0026449915,top,XGBoost
price_down_x_rolling_mean_7,0.002577069,top,XGBoost
dow_1,0.002524344,top,XGBoost
year,0.0024043398,top,XGBoost
price_pct_change_1,0.002388722,top,XGBoost
lag_7_minus_28,0.002355033,top,XGBoost
state_TX,0.0022958957,top,XGBoost
store_CA_2,0.0021563198,top,XGBoost
is_week_4,0.0021130731,top,XGBoost
store_WI_3,0.0021093853,top,XGBoost
state_WI,0.0020676565,top,XGBoost
store_TX_3,0.001980951,top,XGBoost
event_x_rolling_mean_7,0.0019419139,top,XGBoost
dow_0,0.0018029265,top,XGBoost
dow_3,0.0017259391,top,XGBoost
dept_FOODS_3,0.0014800747,top,XGBoost
dept_FOODS_1,0.0014313638,top,XGBoost
store_TX_1,0.0013121268,top,XGBoost
event_type_1_Religious,0.0011521014,top,XGBoost
has_event_1,0.0011420937,top,XGBoost
store_CA_4,0.0010983188,top,XGBoost
event_type_2_Religious,0.0010837899,top,XGBoost
store_TX_2,0.0010730377,top,XGBoost
store_WI_1,0.00079816586,top,XGBoost
event_type_1_Cultural,0.00056254293,top,XGBoost
is_week_5,0.0,top,XGBoost
is_weekend,0.0,top,XGBoost
is_month_start,0.0,top,XGBoost
is_week_1,0.0,top,XGBoost
has_event_2,0.0,top,XGBoost
is_price_down,0.0,top,XGBoost
event_type_2_Cultural,0.0,top,XGBoost
event_type_2_NoEvent,0.0,top,XGBoost
event_type_1_NoEvent,0.0,top,XGBoost
event_type_1_Sporting,0.0,top,XGBoost
dow_2,0.0,top,XGBoost
dow_5,0.0,top,XGBoost
