item_id,total_sales_before_cutoff,dept_id,cat_id,sales_group,grouping_cutoff_date,selection_method,items_per_group
FOODS_3_090,907103,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_586,831158,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_252,508388,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_555,443974,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_714,360547,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_694,349597,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_587,344572,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_226,323517,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_635,272956,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_808,271715,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_541,264820,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_202,257029,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_723,253473,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_360,244548,FOODS_2,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_377,244095,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_318,243883,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_080,239870,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_120,233834,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_234,228462,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_1_218,212152,FOODS_1,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_376,211086,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_681,208503,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_607,201174,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_319,199741,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_099,190731,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_752,185381,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_295,180708,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_501,179422,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_491,179250,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_711,177281,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_489,13152,FOODS_3,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_361,13139,FOODS_2,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_020,13127,FOODS_2,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_729,13074,FOODS_3,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_705,13059,FOODS_3,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_112,13042,FOODS_3,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_196,13028,FOODS_2,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_181,12978,FOODS_3,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_070,12973,FOODS_2,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_106,12968,FOODS_2,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_055,12901,FOODS_2,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_492,12873,FOODS_3,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_1_143,12843,FOODS_1,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_174,12798,FOODS_3,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_186,12776,FOODS_3,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_288,12752,FOODS_2,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_137,12749,FOODS_2,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_160,12748,FOODS_3,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_1_041,12737,FOODS_1,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_381,12720,FOODS_3,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_428,12677,FOODS_3,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_770,12654,FOODS_3,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_143,12618,FOODS_2,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_067,12592,FOODS_2,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_262,12580,FOODS_2,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_1_174,12556,FOODS_1,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_1_178,12547,FOODS_1,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_085,12544,FOODS_2,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_1_016,12539,FOODS_1,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_370,12535,FOODS_2,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_337,1222,FOODS_3,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_338,1209,FOODS_3,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_226,1145,FOODS_2,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_362,1142,FOODS_2,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_350,1132,FOODS_3,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_696,1086,FOODS_3,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_057,1075,FOODS_2,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_601,1069,FOODS_3,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_090,1009,FOODS_2,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_239,1005,FOODS_2,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_796,995,FOODS_3,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_253,994,FOODS_2,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_633,988,FOODS_3,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_147,987,FOODS_2,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_252,979,FOODS_2,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_1_160,909,FOODS_1,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_096,893,FOODS_2,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_390,880,FOODS_2,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_517,860,FOODS_3,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_171,823,FOODS_3,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_260,772,FOODS_3,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_563,766,FOODS_3,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_073,718,FOODS_2,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_255,670,FOODS_3,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_071,638,FOODS_2,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_466,626,FOODS_3,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_500,626,FOODS_3,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_220,516,FOODS_3,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_472,493,FOODS_3,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_296,346,FOODS_3,FOODS,bottom,2015-10-01,sales_volume_stratified_abc_inspired,30
